
============================================================
Translating to: Simplified Chinese (zh)
============================================================
Total unique strings: 320,731
Already translated:   6,400
Pending:              314,331
Will translate:       314,331
  Consensus tier:    125,298 strings (dual-engine + verification)
  Single-pass tier:  189,033 strings (fast, 1 engine)
Total batches: 5496 (2363 single@80, 3133 consensus@40)
Concurrency: 4

Phase 1: Single-pass tier (2363 batches)...
  [24.7%] Batch 1360/5496 | 115,157 done | 100.0% high-conf | 0 verified | 43 err | 10004s elapsed | ~30423s ETA
  [24.9%] Batch 1370/5496 | 115,957 done | 100.0% high-conf | 0 verified | 43 err | 10048s elapsed | ~30261s ETA
  [25.1%] Batch 1380/5496 | 116,757 done | 100.0% high-conf | 0 verified | 43 err | 10098s elapsed | ~30118s ETA
  [25.3%] Batch 1390/5496 | 117,556 done | 100.0% high-conf | 0 verified | 44 err | 10160s elapsed | ~30014s ETA
  [25.5%] Batch 1400/5496 | 118,356 done | 100.0% high-conf | 0 verified | 44 err | 10204s elapsed | ~29853s ETA
  [25.7%] Batch 1410/5496 | 119,156 done | 100.0% high-conf | 0 verified | 44 err | 10265s elapsed | ~29746s ETA
  [25.8%] Batch 1420/5496 | 119,956 done | 100.0% high-conf | 0 verified | 44 err | 10321s elapsed | ~29625s ETA
  [26.0%] Batch 1430/5496 | 120,756 done | 100.0% high-conf | 0 verified | 44 err | 10372s elapsed | ~29490s ETA
  [26.2%] Batch 1440/5496 | 121,556 done | 100.0% high-conf | 0 verified | 44 err | 10427s elapsed | ~29370s ETA
  [26.4%] Batch 1450/5496 | 122,356 done | 100.0% high-conf | 0 verified | 44 err | 10487s elapsed | ~29261s ETA
  [26.6%] Batch 1460/5496 | 123,156 done | 100.0% high-conf | 0 verified | 44 err | 10537s elapsed | ~29128s ETA
  [26.7%] Batch 1470/5496 | 123,956 done | 100.0% high-conf | 0 verified | 44 err | 10601s elapsed | ~29033s ETA
  [26.9%] Batch 1480/5496 | 124,756 done | 100.0% high-conf | 0 verified | 44 err | 10656s elapsed | ~28914s ETA
  [27.1%] Batch 1490/5496 | 125,556 done | 100.0% high-conf | 0 verified | 44 err | 10708s elapsed | ~28788s ETA
  [27.3%] Batch 1500/5496 | 126,356 done | 100.0% high-conf | 0 verified | 44 err | 10762s elapsed | ~28669s ETA
  [27.5%] Batch 1510/5496 | 127,155 done | 100.0% high-conf | 0 verified | 45 err | 10819s elapsed | ~28559s ETA
  [27.7%] Batch 1520/5496 | 127,955 done | 100.0% high-conf | 0 verified | 45 err | 10887s elapsed | ~28477s ETA
  [27.8%] Batch 1530/5496 | 128,755 done | 100.0% high-conf | 0 verified | 45 err | 10960s elapsed | ~28410s ETA
  [28.0%] Batch 1540/5496 | 129,555 done | 100.0% high-conf | 0 verified | 45 err | 11009s elapsed | ~28280s ETA
  [28.2%] Batch 1550/5496 | 130,355 done | 100.0% high-conf | 0 verified | 45 err | 11069s elapsed | ~28179s ETA
  [28.4%] Batch 1560/5496 | 131,155 done | 100.0% high-conf | 0 verified | 45 err | 11125s elapsed | ~28069s ETA
  [28.6%] Batch 1570/5496 | 131,955 done | 100.0% high-conf | 0 verified | 45 err | 11191s elapsed | ~27986s ETA
  [28.7%] Batch 1580/5496 | 132,755 done | 100.0% high-conf | 0 verified | 45 err | 11248s elapsed | ~27879s ETA
  [28.9%] Batch 1590/5496 | 133,555 done | 100.0% high-conf | 0 verified | 45 err | 11298s elapsed | ~27755s ETA
  [29.1%] Batch 1600/5496 | 134,355 done | 100.0% high-conf | 0 verified | 45 err | 11363s elapsed | ~27669s ETA
  [29.3%] Batch 1610/5496 | 135,155 done | 100.0% high-conf | 0 verified | 45 err | 11411s elapsed | ~27543s ETA
  [29.5%] Batch 1620/5496 | 135,955 done | 100.0% high-conf | 0 verified | 45 err | 11465s elapsed | ~27432s ETA
  [29.7%] Batch 1630/5496 | 136,755 done | 100.0% high-conf | 0 verified | 45 err | 11516s elapsed | ~27314s ETA
  [29.8%] Batch 1640/5496 | 137,555 done | 100.0% high-conf | 0 verified | 45 err | 11551s elapsed | ~27158s ETA
  [30.0%] Batch 1650/5496 | 138,355 done | 100.0% high-conf | 0 verified | 45 err | 11621s elapsed | ~27087s ETA
  [30.2%] Batch 1660/5496 | 139,155 done | 100.0% high-conf | 0 verified | 45 err | 11684s elapsed | ~27001s ETA
  [30.4%] Batch 1670/5496 | 139,955 done | 100.0% high-conf | 0 verified | 45 err | 11730s elapsed | ~26875s ETA
  [30.6%] Batch 1680/5496 | 140,755 done | 100.0% high-conf | 0 verified | 45 err | 11778s elapsed | ~26754s ETA
  [30.7%] Batch 1690/5496 | 141,555 done | 100.0% high-conf | 0 verified | 45 err | 11826s elapsed | ~26633s ETA
  [30.9%] Batch 1700/5496 | 142,354 done | 100.0% high-conf | 0 verified | 46 err | 11870s elapsed | ~26504s ETA
  [31.1%] Batch 1710/5496 | 143,154 done | 100.0% high-conf | 0 verified | 46 err | 11923s elapsed | ~26398s ETA
  [31.3%] Batch 1720/5496 | 143,954 done | 100.0% high-conf | 0 verified | 46 err | 11966s elapsed | ~26270s ETA
  [31.5%] Batch 1730/5496 | 144,754 done | 100.0% high-conf | 0 verified | 46 err | 12019s elapsed | ~26165s ETA
  [31.7%] Batch 1740/5496 | 145,554 done | 100.0% high-conf | 0 verified | 46 err | 12078s elapsed | ~26072s ETA
  [31.8%] Batch 1750/5496 | 146,354 done | 100.0% high-conf | 0 verified | 46 err | 12137s elapsed | ~25980s ETA
  [32.0%] Batch 1760/5496 | 147,154 done | 100.0% high-conf | 0 verified | 46 err | 12200s elapsed | ~25897s ETA
  [32.2%] Batch 1770/5496 | 147,954 done | 100.0% high-conf | 0 verified | 46 err | 12270s elapsed | ~25830s ETA
  [32.4%] Batch 1780/5496 | 148,754 done | 100.0% high-conf | 0 verified | 46 err | 12329s elapsed | ~25738s ETA
  [32.6%] Batch 1790/5496 | 149,554 done | 100.0% high-conf | 0 verified | 46 err | 12393s elapsed | ~25658s ETA
  [32.8%] Batch 1800/5496 | 150,354 done | 100.0% high-conf | 0 verified | 46 err | 12454s elapsed | ~25572s ETA
  [32.9%] Batch 1810/5496 | 151,154 done | 100.0% high-conf | 0 verified | 46 err | 12518s elapsed | ~25492s ETA
  [33.1%] Batch 1820/5496 | 151,954 done | 100.0% high-conf | 0 verified | 46 err | 12591s elapsed | ~25432s ETA
  [33.3%] Batch 1830/5496 | 152,754 done | 100.0% high-conf | 0 verified | 46 err | 12649s elapsed | ~25340s ETA
  [33.5%] Batch 1840/5496 | 153,554 done | 100.0% high-conf | 0 verified | 46 err | 12723s elapsed | ~25280s ETA
  [33.7%] Batch 1850/5496 | 154,354 done | 100.0% high-conf | 0 verified | 46 err | 12781s elapsed | ~25190s ETA
  [33.8%] Batch 1860/5496 | 155,154 done | 100.0% high-conf | 0 verified | 46 err | 12842s elapsed | ~25104s ETA
  [34.0%] Batch 1870/5496 | 155,954 done | 100.0% high-conf | 0 verified | 46 err | 12898s elapsed | ~25010s ETA
  [34.2%] Batch 1880/5496 | 156,754 done | 100.0% high-conf | 0 verified | 46 err | 12957s elapsed | ~24922s ETA
  [34.4%] Batch 1890/5496 | 157,554 done | 100.0% high-conf | 0 verified | 46 err | 13030s elapsed | ~24861s ETA
  [34.6%] Batch 1900/5496 | 158,354 done | 100.0% high-conf | 0 verified | 46 err | 13079s elapsed | ~24755s ETA
  [34.8%] Batch 1910/5496 | 159,154 done | 100.0% high-conf | 0 verified | 46 err | 13137s elapsed | ~24665s ETA
  [34.9%] Batch 1920/5496 | 159,954 done | 100.0% high-conf | 0 verified | 46 err | 13186s elapsed | ~24559s ETA
  [35.1%] Batch 1930/5496 | 160,754 done | 100.0% high-conf | 0 verified | 46 err | 13247s elapsed | ~24477s ETA
  [35.3%] Batch 1940/5496 | 161,554 done | 100.0% high-conf | 0 verified | 46 err | 13304s elapsed | ~24385s ETA
  [35.5%] Batch 1950/5496 | 162,354 done | 100.0% high-conf | 0 verified | 46 err | 13368s elapsed | ~24310s ETA
  [35.7%] Batch 1960/5496 | 163,154 done | 100.0% high-conf | 0 verified | 46 err | 13420s elapsed | ~24210s ETA
  [35.8%] Batch 1970/5496 | 163,954 done | 100.0% high-conf | 0 verified | 46 err | 13474s elapsed | ~24117s ETA
  [36.0%] Batch 1980/5496 | 164,754 done | 100.0% high-conf | 0 verified | 46 err | 13539s elapsed | ~24043s ETA
  [36.2%] Batch 1990/5496 | 165,554 done | 100.0% high-conf | 0 verified | 46 err | 13604s elapsed | ~23968s ETA
  [36.4%] Batch 2000/5496 | 166,354 done | 100.0% high-conf | 0 verified | 46 err | 13659s elapsed | ~23876s ETA
  [36.6%] Batch 2010/5496 | 167,154 done | 100.0% high-conf | 0 verified | 46 err | 13731s elapsed | ~23814s ETA
  [36.8%] Batch 2020/5496 | 167,954 done | 100.0% high-conf | 0 verified | 46 err | 13788s elapsed | ~23727s ETA
  [36.9%] Batch 2030/5496 | 168,754 done | 100.0% high-conf | 0 verified | 46 err | 13868s elapsed | ~23679s ETA
  [37.1%] Batch 2040/5496 | 169,554 done | 100.0% high-conf | 0 verified | 46 err | 13956s elapsed | ~23642s ETA
  [37.3%] Batch 2050/5496 | 170,354 done | 100.0% high-conf | 0 verified | 46 err | 14060s elapsed | ~23634s ETA
  [37.5%] Batch 2060/5496 | 171,153 done | 100.0% high-conf | 0 verified | 47 err | 14146s elapsed | ~23596s ETA
  [37.7%] Batch 2070/5496 | 171,950 done | 100.0% high-conf | 0 verified | 50 err | 14244s elapsed | ~23575s ETA
  [38.0%] Batch 2090/5496 | 173,549 done | 100.0% high-conf | 0 verified | 51 err | 14413s elapsed | ~23488s ETA
  [38.2%] Batch 2100/5496 | 174,349 done | 100.0% high-conf | 0 verified | 51 err | 14470s elapsed | ~23400s ETA
